カテゴリー,問題番号,問題,選択肢,正解,解説
通関業法（その他）,51-1-1,通関業法は、通関業を営む者についてその業務の(イ)、通関士の(ロ)等必要な事項を定め、その業務の(ハ)な運営を図ることにより、関税の(ニ)その他貨物の(ホ)に関する手続の(ハ)かつ迅速な実施を確保することを目的とする。,"1.(イ)監査 (ロ)勤務条件 (ハ)継続的 (ニ)賦課徴収 (ホ)運送
2.(イ)適正 (ロ)性質 (ハ)安定的 (ニ)申告納付 (ホ)通関
3.(イ)適正 (ロ)性質 (ハ)安定的 (ニ)賦課徴収 (ホ)通関
4.(イ)規制 (ロ)設置 (ハ)適正 (ニ)申告納付 (ホ)通関
5.(イ)規制 (ロ)性質 (ハ)安定的 (ニ)賦課徴収 (ホ)保管",4,業法1条は、通関業務について、通関業を営む者についてその業務の規制、通関士の設置等必要な事項を定め、その業務の適正な運営を図ることにより、関税の申告納付その他貨物の通関に関する手続の適正かつ迅速な実施を確保することを目的とすると定める。
通関業法（通関業者・通関士の義務）,51-2-1,"通関業者は、他人の依頼に応じて(イ)に提出する通関書類のうち(ロ)で定めるもの(通関士が(ハ)している営業所における通関業務に係るものに限る。)については、通関士にその(ニ)を審査させ、かつ、これに(ホ)させなければならない。
","1.(イ)財務大臣 (ロ)財務省令 (ハ)通関業務に従事 (ニ)内容 (ホ)署名
2.(イ)税関官署 (ロ)財務省令 (ハ)責任者として勤務 (ニ)税額 (ホ)署名
3.(イ)財務大臣 (ロ)財務省令 (ハ)責任者として勤務 (ニ)内容 (ホ)署名
4.(イ)税関官署 (ロ)政令 (ハ)通関業務に従事 (ニ)内容 (ホ)記名
5.(イ)税務署 (ロ)政令 (ハ)責任者として勤務 (ニ)内容 (ホ)記名",4,業法14条は、通関業者は、他人の依頼に応じて税関官署に提出する通関書類のうち政令で定めるもの（通関士が通関業務に従事している営業所における通関業務に係るものに限る。）については、通関士にその内容を審査させ、かつ、これに記名させなければならないとする。なお、出題当時は「記名押印」させなければならなかったが、令和3年法改正により「記名」だけでよくなった。
通関業法（行政処分）,51-3-1,財務大臣は、通関業の(イ)のために必要があると認めるときは、その必要の限度において、通関業者に対してその(ロ)の改善に必要な措置をとるべきことを命ずることができ、当該命令は改善すべき事項、改善のため必要な(ハ)を明記した書面をもって通知される。,"1.(イ)適正な遂行 (ロ)業務の運営 (ハ)期限
2.(イ)適正な遂行 (ロ)業務の運営 (ハ)業務計画 
3.(イ)業務の運営 (ロ)収益 (ハ)期限
4.(イ)業務の運営 (ロ)業務計画 (ハ)法令遵守規則 
5.(イ)財務体質の改善 (ロ)収益 (ハ)条件",1,業法33条の2では、財務大臣は、通関業の適正な遂行のために必要があると認めるときは、その必要の限度において、通関業者に対し、その業務の運営の改善に必要な措置をとるべきことを命ずることができるとされる。また、その際は改善すべき事項、改善のため必要な期限を明記した書面をもって通知すると基本通達33の2-3でされている。
通関業法（行政処分）,51-3-2,財務大臣は、通関業者の役員その他通関業務に従事する者につき、通関業法の規定に違反する行為があった場合又は通関業者の(ニ)を害するような行為があった場合において、当該通関業者の責めに帰すべき理由があるときは、当該通関業者に対し(ホ)の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができる。,"1.(ニ)法令遵守規則 (ホ)5年以内 
2.(ニ)労務管理 (ホ)3年以内 
3.(ニ)収益 (ホ)1年以内 
4.(ニ)法令遵守規則 (ホ)1年以内 
5.(ニ)信用 (ホ)1年以内",5,業法34条1項2号では、財務大臣は、通関業者の役員その他通関業務に従事する者につき、通関業法に違反する行為があつた場合又は通関業者の信用を害するような行為があった場合において、その通関業者の責めに帰すべき理由があるときは、その通関業者に対し、1年以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができると定める。
通関業法（その他）,51-4-1,"財務大臣は、政令で定めるところにより、その権限の(イ)を税関長に委任することができる。通関業法施行令第14条第1項第2号の規定に基づき、同号に掲げる権限については当該権限の(ロ)となる者が通関業務を行う営業所の所在地を管轄する税関長に対して行うこととされており、当該営業所が(ハ)ある場合には、(ニ)の所在地を管轄する税関長にその権限が委任される。(ニ)とは、例えば、通関業の許可の際又は許可後において、通関業に係る(ホ)を行う機能を有するものをいう。
","1.(イ)全部 (ロ)行使の対象 (ハ)5以上 (ニ)本社 (ホ)経営判断
2.(イ)一部 (ロ)行使の対象 (ハ)2以上 (ニ)主たる営業所 (ホ)経営判断
3.(イ)全部 (ロ)管理の対象 (ハ)10以上 (ニ)登記簿上 (ホ)経営判断
4.(イ)一部 (ロ)管理の対象 (ハ)5以上 (ニ)主たる営業所 (ホ)書類作成
5.(イ)全部 (ロ)管理の対象 (ハ)2以上 (ニ)登記簿上 (ホ)書類作成",2,業法40条の3では、財務大臣は、政令で定めるところにより、その権限の一部を税関長に委任することができるとされる。また、施行令14条1項2号による権限の委任については、当該権限の行使の対象となる者が通関業務を行う営業所の所在地を管轄する税関長（当該営業所が二以上ある場合には、主たるものの所在地を管轄する税関長）に対して行うこととされている。この「主たる」営業所の判断基準について、基本通達40の3-1(1)では、例えば、通関業の許可の際又は許可後において、通関業に係る経営判断を行う機能を有する営業所がこれに当たるとする。
通関業法（罰則）,51-5-1,通関業法第40条第2項の規定に違反して、通関士でない者が通関士という(イ)を使用した場合は、同法第44条の規定に基づき当該違反行為をした者を(ロ)以下の(ハ)に処することとされている。また、法人の(ニ)又は法人若しくは人の代理人、使用人その他の従業者が、その法人又は人の業務に関し、当該違反行為をしたときは、その(ホ)を罰するほか、その法人又は人に対し、同条の(ハ)刑を科することとされている。,"1.(イ)称号 (ロ)50万円 (ハ)過料 (ニ)役員 (ホ)任命者
2.(イ)名称 (ロ)30万円 (ハ)罰金 (ニ)代表者 (ホ)行為者
3.(イ)資格 (ロ)100万円 (ハ)過料 (ニ)役員 (ホ)行為者
4.(イ)称号 (ロ)100万円 (ハ)科料 (ニ)出資者 (ホ)役員
5.(イ)名称 (ロ)30万円 (ハ)罰金 (ニ)代表者 (ホ)任命者",2,業法44条3号では、40条の規定に違反して通関業者又は通関士という名称を使用した者は、30万円以下の罰金に処するとされている。また45条では、法人の代表者又は法人若しくは人の代理人、使用人その他の従業者が、その法人又は人の業務に関し、その違反行為をしたときは、その行為者を罰するほか、その法人又は人に対し、各本条の罰金刑を科すると定める。
通関業法（通関業の許可）,51-6-1,通関業の許可を受けようとする者は、年間において取り扱う見込みの通関業務の量及びその算定の基礎を記載した書面を添付した許可申請書を財務大臣に提出しなければならないこととされている。,○×,○,通関業の許可を受けようとする者は、許可申請書を財務大臣に提出しなければならず、許可申請者には、年間において取り扱う見込みの通関業務の量及びその算定の基礎を記載した書面を添付する(業法4条2項、施行規則1条6号)。
通関業法（通関業の許可）,51-6-2,財務大臣は、通関業の許可申請者が通関業法第6条第7号(欠格事由)に規定する暴力団員でなくなった日から 7 年を経過していない者に該当する場合には、通関業の許可をしてはならないこととされている。,○×,×,「7年」ではなく「5年」である(業法6条7号)。
通関業法（通関業の許可）,51-6-3,財務大臣は、通関業の許可申請者が公務員で懲戒免職の処分を受け、当該処分を受けた日から2年を経過していない者に該当する場合には、通関業の許可をしてはならないこととされている。,○×,○,通関業の許可申請者が公務員で懲戒免職の処分を受け、当該処分を受けた日から2年を経過していないものである場合は、欠格事由となるので通関業の許可を受けられない(業法6条9号)。
通関業法（通関業の許可）,51-6-4,財務大臣は、通関業の許可に条件を付する場合には、併せて当該許可を受ける通関業者の通関業務に従事する通関士の行う業務についても条件を付さなければならないこととされている。,○×,×,通関業の許可に条件(業法3条2項)をつけるには、通関士の業務についても条件をつけなければならないという規定は無い。
