カテゴリー,問題番号,問題,選択肢,正解,解説
関税法（定義）,55-1-1,"「外国貨物」とは、(イ)貨物及び外国から本邦に到着した貨物(外国の船舶により(ロ)で採捕された水産物を含む。)で輸入が許可される前のものをいう。
「内国貨物」とは、(ハ)貨物で外国貨物でないもの及び本邦の船舶により(ロ)で採捕された水産物をいう。","1.(イ)輸入の許可を受けた (ロ)排他的経済水域 (ハ)本邦にある
2.(イ)輸入の許可を受けた (ロ)排他的経済水域 (ハ)本邦で生産された
3.(イ)輸入の許可を受けた (ロ)領海 (ハ)外国に仕向けられた船舶又は航空機に積み込まれた
4.(イ)輸出の許可を受けた (ロ)公海 (ハ)本邦にある
5.(イ)輸出の許可を受けた (ロ)公海 (ハ)外国に向けて運送が開始された",4,"「外国貨物」とは、輸出の許可を受けた貨物及び外国から本邦に到着した貨物(外国の船舶により公海で採捕された水産物を含む。)で輸入が許可される前のものをいう。
「内国貨物」とは、本邦にある貨物で外国貨物でないもの及び本邦の船舶により公海で採捕された水産物をいう。
(関税法2条1項3号4号)"
関税法（定義）,55-1-2,"「特殊船舶」とは、本邦と外国との間を往来する船舶のうち、外国貿易船以外のものをいい、(ニ)並びに海上における保安取締り及び海難救助に従事する公用船を除く。
「沿海通航船」とは、(ホ)以外の船舶をいう。","1.(ニ)外国の軍艦、遠洋漁業船 (ホ)外国貿易船及び特殊船舶
2.(ニ)外国の軍艦、遠洋漁業船 (ホ)本邦と外国との間を往来する船舶
3.(ニ)外国の軍艦、自衛隊の船舶 (ホ)本邦と外国との間を往来する船舶
4.(ニ)外国の軍艦 (ホ)本邦と外国との間を往来する船舶
5.(ニ)外国の軍艦 (ホ)外国貿易船及び特殊船舶",3,"「特殊船舶」とは、本邦と外国との間を往来する船舶のうち、外国貿易船以外のものをいい、外国の軍艦、自衛隊の船舶並びに海上における保安取締り及び海難救助に従事する公用船を除く。
「沿海通航船」とは、本邦と外国との間を往来する船舶以外の船舶をいう。
(関税法15条の3第1項、同法施行令13条の3、同法2条1項7号)"
関税法（附帯税）,55-2-1,"延滞税の額の計算の基礎となる関税額が(イ)未満である場合においては、延滞税が課されず、延滞税の額が(ロ)未満である場合においては、これを徴収せず、当該延滞税の額に百円未満の端数がある場合においては、これを切り捨てる。
延滞税が課される場合において、(ハ)により税額等に誤りがあったため法定納期限後に未納に係る関税額が確定し、かつ、その事情につき(ニ)があったときは、その税額に係る延滞税については、当該法定納期限の翌日から修正申告をした日又は更正通知書若しくは賦課決定通知書が発せられた日までの日数に対応する部分の金額が免除される。","1.(イ)五千円 (ロ)千円 (ハ)客観的な理由 (ニ)財務大臣の確認
2.(イ)五千円 (ロ)千円 (ハ)特別の事情 (ニ)税関長の承認
3.(イ)一万円 (ロ)五千円 (ハ)特別の事情 (ニ)税関長の承認
4.(イ)一万円 (ロ)千円 (ハ)やむを得ない理由 (ニ)税関長の確認
5.(イ)三万円 (ロ)一万円 (ハ)やむを得ない理由 (ニ)税関長の確認",4,"延滞税の額の計算の基礎となる関税額が一万円未満である場合においては、延滞税が課されず、延滞税の額が千円未満である場合においては、これを徴収せず、当該延滞税の額に百円未満の端数がある場合においては、これを切り捨てる。
延滞税が課される場合において、やむを得ない理由により税額等に誤りがあったため法定納期限後に未納に係る関税額が確定し、かつ、その事情につき税関長の確認があったときは、その税額に係る延滞税については、当該法定納期限の翌日から修正申告をした日又は更正通知書若しくは賦課決定通知書が発せられた日までの日数に対応する部分の金額が免除される。
(関税法12条3項6項)"
関税法（附帯税）,55-2-2,延滞税が課される場合において、税関長が国税徴収の例により換価の猶予をしたときであって、納税義務者がその事業又は生活の状況によりその延滞税の納付を困難とする(ハ)があると認められるときは、関税法第12条第8項第1号ロの規定により、税関長は、その猶予をした関税に係る延滞税につき、猶予をした期間に対応する部分の金額のうち(ホ)を限度として、免除することができる。,"1.(ハ)特別の事情 (ホ)当該税関長が適当と認める金額
2.(ハ)特別の事情 (ホ)納付が困難と認められる金額
3.(ハ)やむを得ない理由 (ホ)当該税関長が適当と認める金額
4.(ハ)やむを得ない理由 (ホ)納付が困難と認められる金額
5.(ハ)やむを得ない理由 (ホ)担保の提供に係る金額",4,"延滞税が課される場合において、税関長が国税徴収の例により換価の猶予をしたときであって、納税義務者がその事業又は生活の状況によりその延滞税の納付を困難とするやむを得ない理由があると認められるときは、関税法第12条第 8 項第 1 号ロの規定により、税関長は、その猶予をした関税に係る延滞税につき、猶予をした期間に対応する部分の金額のうち納付が困難と認められる金額を限度として、免除することができる。
(関税法第12条8項1号ロ)"
関税法（輸入通関）,55-3-1,"外国貨物(特例申告貨物を除く。)を(イ)の後輸入の許可前に引き取ろうとする者は、(ロ)に相当する担保を提供して税関長の承認を受けなければならない。
(ハ)については、税関長は輸入の許可前における貨物の引取りの承認をしてはならない。","1.(イ)輸入申告 (ロ)関税額 (ハ)原産地について直接に偽った表示がされている外国貨物
2.(イ)本邦到着 (ロ)関税額 (ハ)関税の率が無税とされている外国貨物
3.(イ)本邦到着 (ロ)国内販売価格 (ハ)変質又は損傷のおそれがある外国貨物
4.(イ)予備申告 (ロ)国内販売価格 (ハ)変質又は損傷のおそれがある外国貨物
5.(イ)予備申告 (ロ)課税標準額 (ハ)原産地について直接に偽った表示がされている外国貨物",1,外国貨物(特例申告貨物を除く。)を輸入申告の後輸入の許可前に引き取ろうとする者は、関税額に相当する担保を提供して税関長の承認を受けなければならない。 原産地について直接に偽った表示がされている外国貨物については、税関長は輸入の許可前における貨物の引取りの承認をしてはならない。 (関税法73条1項2項、71条1項)
関税法（輸入通関）,55-3-2,税関長は、輸入の許可前における貨物の引取りの承認を受けて引き取られた貨物に係る税額等につき(ニ)と認めた場合には、当該申告に係る税額及びその税額を納付すべき旨等を、書面により、当該引取りの承認を受けた者に通知することとされており、(ホ)は、その税額に相当する関税を納付しなければならない。,"1.(ニ)その納税申告に誤りがない (ホ)納税義務者
2.(ニ)その納税申告に誤りがある (ホ)納税義務者
3.(ニ)その納税申告に誤りがある (ホ)当該貨物の仕出人
4.(ニ)その納税申告がされていない (ホ)当該貨物の仕出人
5.(ニ)その納税申告がされていない (ホ)納税義務者",1,"税関長は、輸入の許可前における貨物の引取りの承認を受けて引き取られた貨物に係る税額等につきその納税申告に誤りがないと認めた場合には、当該申告に係る税額及びその税額を納付すべき旨等を、書面により、当該引取りの承認を受けた者に通知することとされており、納税義務者は、その税額に相当する関税を納付しなければならない。
(関税法7条の17)"
関税法（保税地域）,55-4-1,"関税法第34条の2の規定により、保税地域(保税工場及び保税展示場を除く。)において貨物を管理する者は、その管理する外国貨物(信書を除く。)又は輸出しようとする貨物(信書を除く。)についての(イ)なければならないこととされている。
指定保税地域においては、外国貨物又は輸出しようとする貨物につき、(ロ)、簡単な加工その他これらに類する行為で(ハ)を行うことができる。","1.(イ)帳簿を設け (ロ)保税作業 (ハ)税関長に届け出たもの 
2.(イ)帳簿を設け (ロ)保税作業 (ハ)税関長の許可を受けたもの
3.(イ)帳簿を設け (ロ)見本の展示 (ハ)税関長の許可を受けたもの
4.(イ)税関職員の検査を受け (ロ)見本の展示 (ハ)税関長の許可を受けたもの
5.(イ)法令遵守規則を定め (ロ)見本の展示 (ハ)税関長の確認を受けたもの",3,"関税法第34条の2の規定により、保税地域(保税工場及び保税展示場を除く。)において貨物を管理する者は、その管理する外国貨物(信書を除く。)又は輸出しようとする貨物(信書を除く。)についての帳簿を設けなければならないこととされている。
指定保税地域においては、外国貨物又は輸出しようとする貨物につき、見本の展示、簡単な加工その他これらに類する行為で税関長の許可を受けたものを行うことができる。
(関税法34条の2、40条2項)"
関税法（保税地域）,55-4-2,"保税蔵置場に外国貨物を入れる者は、当該貨物をその入れた日から(ニ)(やむを得ない理由により必要があると認めるときは、申請により、税関長が指定する期間)を超えて当該保税蔵置場に置こうとする場合には、その超えることとなる日前に税関長に申請し、その承認を受けなければならない。
保税蔵置場にある外国貨物(輸出の許可を受けた貨物を除く。)が亡失し、又は滅却されたときは、(ホ)から、直ちにその関税を徴収する。","1.(ニ)1月 (ホ)当該外国貨物の所有者
2.(ニ)1月 (ホ)当該外国貨物を置くことの承認を受けた者
3.(ニ)1月 (ホ)当該保税蔵置場の許可を受けた者
4.(ニ)3月 (ホ)当該保税蔵置場の許可を受けた者
5.(ニ)6月 (ホ)当該保税蔵置場の許可を受けた者",4,"保税蔵置場に外国貨物を入れる者は、当該貨物をその入れた日から3月(やむを得ない理由により必要があると認めるときは、申請により、税関長が指定する期間)を超えて当該保税蔵置場に置こうとする場合には、その超えることとなる日前に税関長に申請し、その承認を受けなければならない。
保税蔵置場にある外国貨物(輸出の許可を受けた貨物を除く。)が亡失し、又は滅却されたときは、当該保税蔵置場の許可を受けた者から、直ちにその関税を徴収する。
(関税法43条の3第1項、45条1項本文)"
関税暫定措置法（特恵関税）,55-5-1,"関税暫定措置法第8条の2第1項に規定する特恵受益国等を原産地とする物品について、同項の特恵関税の適用を受けようとする場合において、当該物品が次に掲げるものであるときは、当該物品に係る原産地証明書を税関長に提出することを要しない。 
( 1 )税関長が(イ)によりその原産地が明らかであると認めた物品 
( 2 )課税価格の総額が(ロ)以下の物品 
( 3 )特例申告貨物である物品(特恵受益国原産品であることを確認するために原産地証明書の提出の必要があると税関長が認めるものを除く。)","1.(イ)物品の原料又は材料 (ロ) 二十万円
2. (イ)物品の種類又は形状 (ロ)二十万円
3. (イ)物品の種類又は形状 (ロ)十万円
4. (イ)物品の製造方法 (ロ)十万円
5. (イ)物品の製造方法 (ロ)一万円",2,"関税暫定措置法第8条の2第1項に規定する特恵受益国等を原産地とする物品について、同項の特恵関税の適用を受けようとする場合において、当該物品が次に掲げるものであるときは、当該物品に係る原産地証明書を税関長に提出することを要しない。
( 1 )税関長が物品の種類又は形状によりその原産地が明らかであると認めた物品
( 2 )課税価格の総額が二十万円以下の物品
( 3 )特例申告貨物である物品(特恵受益国原産品であることを確認するために原産地証
明書の提出の必要があると税関長が認めるものを除く。)
(暫定措置法施行令27条1項)"
関税暫定措置法（特恵関税）,55-5-2,"関税暫定措置法第8条の2第1項の特恵関税に係る原産地証明書は、税関長がやむを得ない特別の事由があると認める場合を除き、その証明に係る(ハ)に、当該物品の輸出者の申告に基づき(ニ)又は当該原産地証明書の発給につき権限を有するその他の官公署若しくは商業会議所その他これに準ずる機関で税関長が適当と認めるものが発給したものでなければならない。
関税暫定措置法第8条の2第1項の特恵関税に係る原産地証明書は、災害その他やむを得ない理由があるとして税関長の承認を受けた場合を除き、その証明に係る物品(郵便物を除く。)についての輸入申告の日において、その発給の日から(ホ)以上を経過したものであってはならない。","1.(ハ)物品の輸出の際 (ニ)輸入国の税関 (ホ)3月
2.(ハ)物品の輸出の際 (ニ)原産地の税関 (ホ)1年
3.(ハ)物品の製造の際 (ニ)原産地の税関 (ホ)1年
4.(ハ)物品の製造の際 (ニ)原産地の税関 (ホ)6月
5.(ハ)物品の製造の際 (ニ)仕出地にある本邦の在外公館 (ホ)6月

",2,"関税暫定措置法第8条の2第1項の特恵関税に係る原産地証明書は、税関長がやむを得ない特別の事由があると認める場合を除き、その証明に係る物品の輸出の際に、当該物品の輸出者の申告に基づき原産地の税関又は当該原産地証明書の発給につき権限を有するその他の官公署若しくは商業会議所その他これに準ずる機関で税関長が適当と認めるものが発給したものでなければならない。
関税暫定措置法第8条の2第1項の特恵関税に係る原産地証明書は、災害その他やむを得ない理由があるとして税関長の承認を受けた場合を除き、その証明に係る物品(郵便物を除く。)についての輸入申告の日において、その発給の日から1年以上を経過したものであってはならない。
(暫定措置法施行令27条4項、29条)"
