カテゴリー,問題番号,問題,選択肢,正解,解説
関税法（関税の確定・納付）,56-1-1,"指定保税地域にある外国貨物(輸出の許可を受けた貨物を除く。)があらかじめ(イ)ことなく滅却されたときは、(ロ)から直ちにその関税が徴収される。
関税定率法第15条第1項(特定用途免税)の規定により関税の免除を受けた貨物について、その免除に係る特定の用途以外の用途に供するため譲渡されたことにより、その免除を受けた関税を徴収する場合は、(ハ)がその関税を納付する義務がある。","1.(イ)税関長の承認を受ける (ロ)当該外国貨物を管理する者 (ハ)当該譲渡をした者
2.(イ)財務大臣の許可を受ける (ロ)当該外国貨物を管理する者 (ハ)当該譲渡をした者
3.(イ)税関長の承認を受ける (ロ)当該指定保税地域の指定を受けた施設の所有者 (ハ)当該特定の用途以外の用途に供した者
4.(イ)財務大臣の許可を受ける (ロ) 当該指定保税地域の指定を受けた施設の所有者 (ハ)当該譲渡をした者
5.(イ)税関長の承認を受ける (ロ)当該貨物を所有する者 (ハ)当該特定の用途以外の用途に供した者
",1,"関税法45条1項によると、保税蔵置場にある外国貨物（輸出の許可を受けた貨物を除く。）が亡失し、又は滅却されたときは、当該保税蔵置場の許可を受けた者から、原則として直ちにその関税を徴収することとなっている（例外的に、外国貨物が災害その他やむを得ない事情により亡失した場合又はあらかじめ税関長の承認を受けて滅却された場合は、この限りでない。）。そして、この規定は41条の3により指定保税地域にある外国貨物について準用され、その場合「当該保税蔵置場の許可を受けた者」ではなく、「当該外国貨物を管理する者」から徴収することになっている。

関税定率法第15条第1項(特定用途免税)の規定により規定により関税の免除を受けた貨物が、その輸入の許可の日から二年以内に、(1)特定用途以外の用途に供された場合は、当該用途以外の用途に供した者から、免除を受けた関税を直ちに徴収し、また、(2)特定用途以外の用途に供するため譲渡された場合においては、当該譲渡をした者から、免除を受けた関税を直ちに徴収する(同条2項本文)。ハでは(2)を問うている。"
関税法（関税の確定・納付）,56-1-2,日本郵便株式会社が、郵便物に係る関税を納付しようとする者の委託に基づき当該関税の 額に相当する金銭の交付を受けた場合において、その交付を受けた日の翌日から起算して11 取引日を経過した最初の取引日までにその関税を完納しないときは、税関長は、( ニ ) により、その関税を( ホ )から徴収する。,"1.(ニ)国税徴収の例 (ホ)当該貨物を所有する者
2.(ニ)国税徴収の例 (ホ)当該関税を納付しようとする者
3.(ニ)国税徴収の例 (ホ)日本郵便株式会社
4.(ニ)国税の保証人に関する徴収の例 (ホ)当該関税を納付しようとする者
5.(ニ)国税の保証人に関する徴収の例 (ホ)日本郵便株式会社",5,賦課課税方式が適用される郵便物に係る関税を納付しようとする者は、税額に相当する金銭に納付書を添えて、これを日本郵便株式会社に交付し、その納付を委託する(関税法77条の2第1項)。そして、日本郵便株式会社は、これを日本銀行に納付する(77条の3第1項)。つまり、国への直接の納付（日本銀行への納付）は、日本郵便株式会社が代わって行っているのである。そして、日本郵便株式会社が、金銭の交付を受けた日の翌日から起算して十一取引日を経過した最初の取引日までに日本銀行に対して関税を完納しないときは、税関長は、国税の保証人に関する徴収の例によりその関税を日本郵便株式会社から徴収する(同条3項、施行令68条の2)。これは、日本郵便株式会社は納付しようとする者から委託を受けた立場なのだから、一定期間国への納付が無いのであれば、保証人のように本人に代わって納付すべきであり、その際本人ではなく日本郵便株式会社から関税は徴収されるし、手続きは国税を保証人から徴収するときの手続き(国税徴収法)と同様だよ（例による）ということである。
関税法（関税の確定・納付）,56-2-1,"輸入の許可後にした修正申告に係る関税は、(イ)までに納付しなければならない。
賦課課税方式が適用される郵便物に係る関税については、当該郵便物につき関税法第63条第1項又は第77条第6項の承認を受けた場合を除き、(ロ)に、当該関税を納付し、又は当該関税の納付を日本郵便株式会社若しくは納付受託者に委託しなければならない。 ","1.(イ)当該修正申告をした日の翌日から起算して1月を経過する日 (ロ)当該郵便物を受け取った日の翌日から起算して1月を経過する日まで
2.(イ)当該修正申告をした日の翌日から起算して1月を経過する日 (ロ)当該郵便物に係る課税通知書の送達により税関長が決定する期限まで
3.(イ)当該修正申告をした日 (ロ)当該郵便物を受け取る前
4.(イ)当該修正申告をした日 (ロ)当該郵便物に係る課税通知書の送達により税関長が決定する期限まで
5.(イ) 当該修正申告をした日 (ロ)当該郵便物を受け取った日の翌日から起算して1月を経過する日まで",3,"輸入の許可後にした修正申告に係る関税の納期限は、当該修正申告をした日である(関税法9条2項4号)。

賦課課税方式が適用される郵便物を受け取ろうとする者は、当該郵便物を受け取る前に、関税を納付し、又はその関税の納付を日本郵便株式会社（キャッシュレス決済のため納付受託者に委託するときは納付受託者）に委託しなければならない。ただし、当該郵便物を受け取ろうとする者が、当該郵便物につき63条1項（保税運送）の承認を受け、その承認に係る書類を日本郵便株式会社に提示して当該郵便物を受け取るときは、この限りでない(関税法77条3項、9条の5第3項)。また、関税納付前受取(77条6項)の場合も、関税の納付前に受け取れるのだからこの限りではない。"
関税法（関税の確定・納付）,56-2-2,"関税法第9条の2第2項(納期限の延長)の規定により、貨物を輸入しようとする者が、
特定月において輸入しようとする貨物に課されるべき関税の納期限に関し、(ハ)までにその延長を受けたい旨の申請書を当該貨物に係る関税の納税申告をする税関長に提出し、かつ、当該貨物に係る関税額の合計額に相当する額の担保を当該税関長に提供したときは、当該税関長は、特定月においてその者が輸入する貨物に係る関税については、特定月における関税額の累計額が当該提供された担保の額を超えない範囲内において、その納期限を(ニ)以内に限り延長することができる。
財務大臣は、災害その他やむを得ない理由により、関税に関する法律に基づく納付等の行為に関する期限までに当該行為をすべき者であって当該期限までに当該行為のうち関税に関する法律等の規定により電子情報処理組織(NACCS)を使用して行う特定の行為をすることができないと認める者が多数に上ると認める場合には、(ホ)及び期日を指定して当該期限を延長するものとされている。","1.(ハ)特定月の末日(ニ)特定月の末日の翌日から3月 (ホ)地域
2.(ハ)特定月の末日 (ニ)特定月の末日の翌日から3月 (ホ)対象者の範囲
3.(ハ)特定月の前月末日 (ニ)特定月の末日の翌日から3月 (ホ)対象者の範囲
4.(ハ)その納期限のうち最も早い日(ニ)特定月の末日の翌日から3月 (ホ) 対象者の範囲
5.(ハ)その納期限のうち最も早い日 (ニ)それぞれ3月 (ホ)地域",3,"申告納税方式が適用される貨物（特例申告貨物を除く。）を輸入しようとする者が、その月（特定月）において輸入しようとする貨物に課されるべき関税の納期限に関し、特定月の前月末日までにその延長を受けたい旨の申請書を当該貨物に係る第七条第一項の規定による申告をする税関長に提出し、かつ、当該貨物に係る関税額の合計額に相当する額の担保を当該税関長に提供したときは、当該税関長は、特定月においてその者が輸入する貨物に係る関税については、特定月における関税額の累計額が当該提供された担保の額を超えない範囲内において、その納期限を特定月の末日の翌日から3月以内に限り延長することができる(関税法9条の2第2項)。

財務大臣又は税関長は、災害その他やむを得ない理由（災害等）により、関税法や関税定率法その他の関税に関する法律に基づく”申請、請求、届出、その他書類の提出、納付、徴収”について、そのいずれかに関する期限までに、これらの行為をすることができないと認めるときは、当該災害等のやんだ日から2月以内に限り、当該期限を延長することができる(災害等による期限の延長 関税法2条の3)。そして、期限までに、関税に関する法律等の規定により電子情報処理組織(NACCS)を使用して行う特定の行為をすることができないと財務大臣が認める者が多数に上る（つまり大勢いる）場合には、対象者の範囲及び期日を指定してその期限を延長する(同法施行令1条の4第2項)。災害等でNACCSが機能せず特定の行為ができなかった場合は、財務大臣が対象者の範囲及び期日を指定して期限の延長（関税の納期限の延長も含む）をすることができるよ、という意味である。"
関税法（輸入通関）,56-3-1,"特例申告に係る貨物以外の貨物を輸入しようとする者は、当該貨物の品名並びに(イ)数量及び価格その他必要な事項を税関長に申告し、当該貨物につき必要な検査を経て、その許可を受けなければならない。
税関長は、輸入申告に係る外国貨物について、原産地について直接若しくは間接に偽った表示又は誤認を生じさせる表示がされている場合には、その表示がある旨を(ロ)に、直ちに通知し、期間を指定して、その者の(ハ)により、その表示を消させ、若しくは訂正させ、又は当該貨物を積み戻させなければならない。","1.(イ)船籍 (ロ)輸入申告をした者 (ハ)選択
2.(イ)船籍 (ロ)当該貨物の所有者 (ハ)選択
3.(イ)性質及び形状 (ロ)輸入申告をした者 (ハ)確認
4.(イ)性質及び形状 (ロ)当該貨物の所有者 (ハ)選択
5.(イ)課税標準となるべき (ロ)輸入申告をした者 (ハ)選択",5,"貨物を輸出し、又は輸入しようとする者は、当該貨物の品名並びに数量及び価格その他必要な事項を税関長に申告し、貨物につき必要な検査を経て、その許可を受けなければならないが、この数量と品名については、特例申告貨物以外の輸入貨物においては、課税標準となるべき数量及び価格とする(関税法67条)。輸出する貨物は課税されず、特例申告貨物は納税申告前に輸入を許可されるので、普通の輸入貨物についてだけ申告で課税標準を要求している。

原産地について、直接・間接に、偽った表示か誤認を生じさせる表示がされている外国貨物については、輸入を許可しない(関税法71条1項)。そして、このような外国貨物については、その原産地について偽った表示又は誤認を生じさせる表示がある旨を輸入申告をした者に、直ちに通知し、期間を指定して、その者の選択により、その表示を消させ、若しくは訂正させ、又は当該貨物を積みもどさせなければならない(同条2項)。"
関税法（輸入通関）,56-3-2,貨物を外国貿易船に積み込んだ状態で輸入申告をすることにつき税関長の承認を受けようとする者は、その承認を受けようとする貨物について、外国貿易船の名称及び(ニ)並びに当該外国貿易船における貨物の(ホ)等の必要な事項を記載した申請書を当該輸入申告をする税関長に提出しなければならない。,"1.(ニ)係留場所 (ホ)登録記号
2.(ニ)係留場所 (ホ)積付けの状況
3.(ニ)登録記号 (ホ)積付けの状況
4.(ニ)登録記号 (ホ)性質及び形状
5.(ニ)登録記号 (ホ)係留場所",2,輸出申告や輸入申告において、本船扱い又はふ中扱いをしようとする者は、原則として、貨物の記号、番号、品名及び数量、外国貿易船又ははしけ等の名称及び係留場所並びに外国貿易船又ははしけ等における貨物の積付けの状況、当該承認を受けようとする理由、その他参考となるべき事項を記載した申請書を、申告先の税関長に提出しなければならない(関税法施行令59条の5第2項)。
関税法（運送）,56-4-1,"外国貨物(郵便物等を除く。)は、税関長に申告し、その承認を受けて、(イ)、保税地域、税関官署及び関税法第30条第1項第2号の規定により税関長が指定した場所相互間に限り、外国貨物のまま運送することができる。この場合において、税関長は、運送の状況その他の事情を勘案して取締り上支障がないと認めるときは、(ロ)以内で税関長が指定する期間内に発送される外国貨物の運送について一括して承認することができる。
税関長は、関税法第63条第1項の保税運送の承認をする場合においては、相当と認められる(ハ)を指定しなければならない。","1.(イ)運送者 (ロ)1月 (ハ)運送の期間
2.(イ)運送者 (ロ)1月 (ハ)運送の方法
3.(イ)開港、税関空港 (ロ)1月 (ハ)運送の方法
4.(イ)開港、税関空港 (ロ)1年 (ハ)運送の期間
5.(イ)開港、税関空港 (ロ)1年 (ハ)運送の方法",4,外国貨物（郵便物、特例輸出貨物及び政令で定めるその他の貨物を除く。）は、税関長に申告し、その承認を受けて、開港、税関空港、保税地域、税関官署及び第30条1項2号（外国貨物を置く場所の制限）の規定により税関長が指定した場所相互間（「特定区間」）に限り、外国貨物のまま運送することができる（保税運送）。この場合において、税関長は、運送の状況その他の事情を勘案して取締り上支障がないと認めるときは、1年以内で税関長が指定する期間内に発送される外国貨物の運送について一括して承認することができる（保税運送の一括承認）(関税法63条1項、施行令53条の2第1項)。税関長は、保税運送の承認をする場合においては、相当と認められる運送の期間を指定しなければならない(関税法63条4項)。
関税法（運送）,56-4-2,"郵便物の保税運送に際しては、運送目録を税関に提示し、その(ニ)を受けなければならない。
運航の自由を失った船舶に積まれていた外国貨物(郵便物等を除く。)を外国貨物のまま運送をしようとする者は、税関が設置されていない場所から運送をすることについて緊急な必要がある場合において、税関職員がいないときは、(ホ)にあらかじめその旨を届け出なければならない。","1.(ニ)許可 (ホ)市区町村長
2.(ニ)許可 (ホ)警察官
3.(ニ)許可 (ホ)税務署職員
4.(ニ)確認 (ホ)警察官
5.(ニ)確認 (ホ)税務署職員",4,"郵便物（特定郵便物を除く。）は、税関長に届け出て、特定区間に限り、外国貨物のまま運送することができ(郵便物の保税運送 関税法63条の9第1項)、その際、運送目録を税関に提示し、その確認を受けなければならない(同条2項)。

外国貨物のうち、難破貨物、運航の自由を失った船舶又は航空機に積まれていた貨物、仮に陸揚げされた貨物については、保税運送の規定にかかわらず、そのある場所から開港、税関空港、保税地域又は税関官署に外国貨物のまま運送することができる（郵便物等は除く。）。この場合においては、その運送をしようとする者は、税関長（税関が設置されていない場所においては税関職員）の承認を受けなければならない。ただし、税関が設置されていない場所から運送をすることについて緊急な必要がある場合において、税関職員がいないときは、警察官にあらかじめその旨を届け出なければならない(関税法64条1項)。"
関税定率法（課税価格の決定）,56-5-1,"輸入貨物の生産及び輸入取引に関連して、買手により(イ)直接に提供された当該輸入貨物の生産のために使用された工具に要する費用は、課税価格に算入されない。
輸入貨物に係る輸入取引に関し買手により負担される(ロ)は、課税価格に算入されないこととされている。
買手による輸入貨物の(ハ)につき制限(買手による輸入貨物の販売が認められる地域についての制限等を除く。)があるときは、関税定率法第4条第1項の規定により課税価格を決定することができない。","1.(イ)値引きをして (ロ)現実支払価格 (ハ)国内販売価格
2.(イ)値引きをして (ロ)買付手数料 (ハ)国内販売価格
3.(イ)有償で (ロ)買付手数料 (ハ)国内販売価格
4.(イ)有償で (ロ)買付手数料 (ハ)処分又は使用
5.(イ)無償で (ロ)買付手数料 (ハ)処分又は使用",4,"輸入貨物の生産のために使用された工具、鋳型又はこれらに類するもので、当該輸入貨物の生産及び輸入取引に関連して、買手により無償で又は値引きをして直接又は間接に提供された物品に要する費用は、加算費用となり課税価格に算入される(関税定率法4条1項3号)。有償で提供する場合はこれに当たらないが、ここにいう有償とは売手が買手に対して工具の費用を支払っているという意味であるから、課税価格に算入されないというより、既に貨物本体の代金に含まれているので4条1項3号の加算費用には当たらないという言い方が正確である。とはいえ、選択肢には「有償で」以外に該当しそうなものがないので、「有償で」となる。

輸入貨物に係る輸入取引に関し買手により負担される仲介手数料のうち買付手数料以外のものは加算費用となるが、買付手数料は加算費用とならず課税価格に算入されない(関税定率法4条1項2号イ)。

買手による輸入貨物の処分又は使用につき制限（買手による輸入貨物の販売が認められる地域についての制限等を除く。）があるときは、関税定率法第4条第1項（課税価格の決定原則ルール）の規定により課税価格を決定することができず、課税価格の決定例外ルールによることとなる。"
関税定率法（課税価格の決定）,56-5-2,"輸入貨物の(ニ)が当該輸入貨物の売手と買手との間で取引される当該輸入貨物以外の貨物の取引数量に依存して決定されるべき旨の条件その他当該輸入貨物の課税価格の決定を困難とする条件が当該輸入貨物の輸入取引に付されているときは、関税定率法第4条第1項の規定により課税価格を決定することができない。
買手による輸入貨物の処分又は使用による収益で間接に売手に帰属するものとされているものの額が(ホ)ときは、関税定率法第4条第1項の規定により課税価格を決定することができない。","1.(ニ)取引価格 (ホ)明らかでない
2.(ニ)現実支払価格 (ホ)明らかな
3.(ニ)現実支払価格 (ホ)明らかでない
4.(ニ)国内販売価格 (ホ)明らかな
5.(ニ)国内販売価格 (ホ)明らかでない",1,"輸入貨物の取引価格が当該輸入貨物の売手と買手との間で取引される当該輸入貨物以外の貨物の取引数量に依存して決定されるべき旨の条件その他当該輸入貨物の課税価格の決定を困難とする条件が当該輸入貨物の輸入取引に付されているときは、関税定率法第4条第1項（課税価格の決定原則ルール）の規定により課税価格を決定することができず、課税価格の決定例外ルールによることとなる。

買手による輸入貨物の処分又は使用による収益で間接に売手に帰属するものとされているものの額が明らかでないときは、関税定率法第4条第1項（課税価格の決定原則ルール）の規定により課税価格を決定することができず、課税価格の決定例外ルールによることとなる。"
